title,mode,level,id,thumbnail
Curiosity Overdrive,Single,22,MS83ZUxTQjZINnp1eHVNT2JBdEtMQT09,https://phoenix.piugame.com/data/song_img/2cf6b048170d3446cbb27e722a1d805f.png?v=20241031113041
Death Moon - SHORT CUT -,Single,22,Y0tITWtPR2ZGRjFNcFZFWjV0dUpvUT09,https://phoenix.piugame.com/data/song_img/cb58368cd334b3de83b6a47fbdca72d6.png?v=20241031113041
Desaparecer,Single,22,dVYyandWQWtnczFzL3dFNDA0YXBJZz09,https://phoenix.piugame.com/data/song_img/c177544632f0d6d1f18bb4ccb672df2c.png?v=20241031113041
Destr0yer,Single,22,MVR2WjE2bVd5ckNPZkljbG8zci9tZz09,https://phoenix.piugame.com/data/song_img/1cdf3c4a70abd903f51f0f9e969830ee.png?v=20241031113041
Dignity,Single,22,c2wwNTB1SjM3WUJzZUFqeDlpNmdqZz09,https://phoenix.piugame.com/data/song_img/f1cb86385e1dcac7b5dd87da181ed2f2.png?v=20241031113041
Donatello,Single,22,RzdFZ2JRQVdKTytYakJmalphVDBuZz09,https://phoenix.piugame.com/data/song_img/87fe929fd50ddc14d42b103c72479b60.png?v=20241031113041
DUEL,Single,22,Ym9VUS9KbXdjc2JZZWZKQ0lPb000UT09,https://phoenix.piugame.com/data/song_img/09c5d38e13221437e549c596fcaac4c6.png?v=20241031113041
Halcyon,Single,22,QmpvbWg0MXg3OEJOaXpmdzUzcW10QT09,https://phoenix.piugame.com/data/song_img/51fcd45896e9b9925e3e1f0a77556e24.png?v=20241031113041
Hardkore of the North,Single,22,bU5RcHJ3YzhEUGpwb2xzTU1oNUErdz09,https://phoenix.piugame.com/data/song_img/bd2a88dd76f59d86f3a536dd3afd3ed2.png?v=20241031113041
Harmagedon,Single,22,MXRBU2wwSlh3NDB2UHBHVExGdE5rZz09,https://phoenix.piugame.com/data/song_img/18c413bbfa40cc13fdc9ea1e3b2aa3c6.png?v=20241031113041
Hellfire,Single,22,cXZ3REJJUzVOWkcydWtQYlM4UWNsUT09,https://phoenix.piugame.com/data/song_img/d6b7df162464f8e926cb984462d61f0c.png?v=20241031113041
hercules,Single,22,WUFuMnkwVjM2NEFiUGtIR3pQY0hXUT09,https://phoenix.piugame.com/data/song_img/81ffa563de8fddbafbaf8f84afa94263.png?v=20241031113041
Hyacinth,Single,22,dWdjdTlWc3E0ME5aM3VzZWIrNE15dz09,https://phoenix.piugame.com/data/song_img/d4bb20e7de499f9e5c8f10e491d3d618.png?v=20241031113041
Hymn of Golden Glory,Single,22,S3pkdWhOU1RYVkpkYStuRkp5Z1lTUT09,https://phoenix.piugame.com/data/song_img/5713ab6fbd6510744918896c7f949bce.png?v=20241031113041
Ignis Fatuus(DM Ashura Mix),Single,22,WEdKVFF6MzRNZjZ3dTdBS0ZvS20rUT09,https://phoenix.piugame.com/data/song_img/eceb8a4cdce908dd6ef8851eb74883bf.png?v=20241031113041
Imperium,Single,22,VURvc3IybDlZOEdsTnFuNG9vcmNIdz09,https://phoenix.piugame.com/data/song_img/b874f35ca304ff22c3ed2ed6c5a9f8ba.png?v=20241031113041
Indestructible,Single,22,U0ZjbVErS2FtUnY4RVZVelhYaTBodz09,https://phoenix.piugame.com/data/song_img/ae21644e1e271575dfd9a423bb808eef.png?v=20241031113041
Iolite Sky,Single,22,ZUdhaHpXM05YSFQrZVRSbk1GN1lRQT09,https://phoenix.piugame.com/data/song_img/f31f845bdc8584adce799fe78a775fdb.png?v=20241031113041
iRELLiA,Single,22,MUZIcEJBUmhER21PTlE1YkEwUW5Tdz09,https://phoenix.piugame.com/data/song_img/282c1e3e7427966fe98c2fb2accfa9d6.png?v=20241031113041
Caprice of DJ Otada,Single,21,RmNjQ0hDR0lJdjFIbXQxS3RCakF4QT09,https://phoenix.piugame.com/data/song_img/2f1b7f10374f115180df7d41f2fe0971.png?v=20241031113041
